名称,位置,总价,每平方单价,介绍
毛坯房，随意装修，价格可以商量。,金连领地,70,"7,233元/平",低楼层(共18层)2室2厅|96.78平米|南北
翡翠之光一期 精装修三室两厅两卫 好楼层 拎包即住,万科翡翠之光1期B区,99,"8,964元/平",中楼层(共33层)3室2厅|110.45平米|南北
诚心出售五一广场新隆嘉后身二室一厅光线充足好房,五一广场长江路北,68,"10,003元/平",高楼层(共7层)2室1厅|67.98平米|南北
毛坯房，随意装修，价位可以商量。,金连领地,60,"7,365元/平",中楼层(共31层)2室1厅|81.47平米|南
椒房 1室1厅 西南,椒房,39.6,"12,148元/平",中楼层(共6层)1室1厅|32.6平米|西南
封闭小区　三室两厅　中间楼层　精装修,瀛海金洲,85,"8,636元/平",低楼层(共33层)3室2厅|98.43平米|南
华润十期 一线海景 看房预约 精装修 保持好 业主急售,华润纯海岸,335,"22,966元/平",高楼层(共33层)3室2厅|145.87平米|南北
好楼层，可看海，全天采光，诚心卖,万科樱花园三期,80,"9,917元/平",高楼层(共33层)2室2厅|80.67平米|南
店长推荐华润四期中间层两室，随时看房，诚意出售！！,华润海中国四期,99,"11,536元/平",低楼层(共34层)2室1厅|85.82平米|南
店长推荐 三八 两室 南向 阳光充足 近三八  二七,39中明阳街,89,"14,598元/平",中楼层(共7层)2室1厅|60.97平米|东南
华邦俪城 封闭小区 位置好 出行便利,华邦俪城,80,"8,334元/平",高楼层(共22层)2室2厅|96平米|南
户型方正，婚房装修，无抵押随时过户！,金湾山城,63,"9,038元/平",中楼层(共18层)2室1厅|69.71平米|南
玖中  东南  视野好  光线好  安静,伊景华园,139,"27,784元/平",高楼层(共32层)1室0厅|50.03平米|东南
中南路 封闭小区 精装电梯房 高层不挡光 南北通厅明卫,枫合万嘉,200,"19,905元/平",高楼层(共12层)2室2厅|100.48平米|南北
亿锋广场二期 三室精装修 业主急售 亿锋广场店力荐,亿锋广场尚苑,126,"14,407元/平",高楼层(共32层)3室2厅|87.46平米|南北
嘉华园 南北通透 精装修两室 童牛岭七中,嘉华园,93,"10,747元/平",中楼层(共17层)2室1厅|86.54平米|南北
万科物业 三室双南卧室 房主急售,万科翡翠都会B区,133,"13,882元/平",高楼层(共28层)3室2厅|95.81平米|南北
岭湾峰尚 南向 小高层 中间楼层 配套齐全 随时看,岭湾峰尚一期,37,"6,813元/平",中楼层(共18层)1室1厅|54.31平米|南
此房满五 精装修 三室俩卫 中间楼层 视野好,海创半山花园,215,"16,205元/平",中楼层(共11层)3室2厅|132.68平米|南北
新机场片区，直通地下停车场，三室正规户型。,保利堂悦,73,"8,260元/平",中楼层(共11层)3室1厅|88.38平米|南北
新装南北向，方正户型，舒适度高，诚心出售,海景园,139,"15,837元/平",中楼层(共5层)2室2厅|87.77平米|南北
1号线千山路站 中层 精装修 楼下就是车站地铁,山东路,59,"12,163元/平",中楼层(共7层)2室1厅|48.51平米|南北
红星海五期岚谷 3室2厅 南 北,红星海五期岚谷,170,"13,976元/平",低楼层(共10层)3室2厅|121.64平米|南北
汇贤云玺前排城堡 法式洋房 顶跃两层 四室两卫,汇贤云玺,320,"22,627元/平",高楼层(共5层)4室2厅|141.43平米|南西
解放 39  南向 楼层好 装修保持好 户型好 位置好,解放街,107,"20,993元/平",低楼层(共7层)2室1厅|50.97平米|南
次新小区环境优美，绿化面积大，人车分流，地下车库,香周首府,159,"17,240元/平",低楼层(共18层)2室2厅|92.23平米|南北
钻石湾一期精装三室两卫南北通透全明户型一梯一户,远洋钻石湾一期,362,"25,409元/平",低楼层(共18层)3室1厅|142.47平米|南北
金州老二站体育场的电梯房，交通方便，小区环境好,冠军大厦,79.8,"7,472元/平",高楼层(共15层)3室1厅|106.8平米|东南北
近地铁 多层花园电梯洋房 大四室 两卫,金地檀溪,215,"15,773元/平",中楼层(共5层)4室2厅|136.31平米|南北
锦泉源D2区 3室2厅 南 北,锦泉源D2区,79.8,"13,193元/平",高楼层(共6层)3室2厅|60.49平米|南北
泡崖四区 方方正正 一室一厅 适合各类人群居住,泡崖四区,40,"9,848元/平",低楼层(共6层)1室1厅|40.62平米|南
房子户型好，两室一厅，楼层好，装修好，南向视野好,嘉创E人国际,108,"18,490元/平",高楼层(共30层)2室1厅|58.41平米|南
中间楼层，景观楼，全款不欠贷，精装修拎包即住,亿达春田银杏园,88,"13,069元/平",低楼层(共16层)2室1厅|67.34平米|南
成熟小区，采光好，交通便利！轻轨站30米！,金元小区,32,"7,601元/平",中楼层(共6层)1室1厅|42.1平米|南
精装南北通透三室两厅 视野佳 近市场,翠南管委会院,135,"10,578元/平",高楼层(共7层)3室2厅|127.63平米|南北
理工大学南门旁边两室两厅南北户型近车站近育明,学府1+1,150,"16,890元/平",中楼层(共6层)2室2厅|88.81平米|南北
桃仙小区房新 ，44秀月结婚装修,桃仙小区,92,"10,112元/平",高楼层(共7层)2室1厅|90.99平米|南北
房主诚心出售    看房方便     价钱可谈,中海万锦公馆,133,"14,374元/平",中楼层(共8层)3室2厅|92.53平米|南北
龙湖水晶毛坯这套与对门都卖看房方便,龙湖水晶郦湾,365,"28,927元/平",高楼层(共37层)3室1厅|126.18平米|北南
龙湖毛坯高楼层看房方便，小区物业好绿化好,龙湖水晶郦湾,452,"28,917元/平",高楼层(共37层)3室1厅|156.31平米|北南
房主诚心  出售 看房方便   价钱 可谈,兆麟街（胜利桥北商圈）,105,"10,903元/平",高楼层(共7层)3室2厅|96.31平米|南北
集美郡小高层   三室两卫 客厅宽敞明亮  精装修,金科金弘基·集美郡,93,"9,260元/平",低楼层(共15层)3室2厅|100.44平米|南北
锦园小区 2室1厅 南 北,锦园小区,42,"7,305元/平",高楼层(共6层)2室1厅|57.5平米|南北
中华名城 2室1厅 南 北,中华名城,245,"18,430元/平",中楼层(共5层)2室1厅|132.94平米|南北
"急售急售,两室南北电梯小高层户型方正看房有钥匙",小孤山中里,42,"5,704元/平",低楼层(共18层)2室1厅|73.64平米|南北
金润金童117三室两卫.南北通厅低楼层近快轨.交通方便.,金润小区A区,99,"7,191元/平",中楼层(共6层)3室2厅|137.68平米|南北
一室二楼层，南向朝阳，西南路主干道两侧，地势无坡。,孙家沟,38,"10,858元/平",低楼层(共6层)1室1厅|35平米|南
动力院景三期中间楼层南北通透带北阳台视野无遮挡,动力院景三期汇善园,125,"11,783元/平",中楼层(共16层)2室2厅|106.09平米|南北
亿达品质 南北 五明户型  精装修手续清晰,亿达第一郡五期,99,"11,084元/平",中楼层(共15层)2室2厅|89.32平米|南
奢华装修，拎包入住，品味人生。,华润二十四城E区,300,"23,660元/平",高楼层(共7层)3室2厅|126.8平米|南北
泉水人家幸福里，南北通厅，近轻轨车站，封闭小区,泉水人家幸福里,120,"12,056元/平",低楼层(共18层)2室2厅|99.54平米|南北
九三路汽车站近交通方便新玛特近,九三小区,24,"5,259元/平",中楼层(共6层)2室1厅|45.64平米|东西
法式城堡空中别墅，实得三层，更少投入 更高品质,汇贤云玺,272.5,"19,173元/平",高楼层(共5层)4室2厅|142.13平米|南西
39 学士街 一楼门头 看房随时,39中学士街,260,"22,412元/平",低楼层(共7层)2室2厅|116.01平米|南北
新加坡花园三室两卫精装家具家电全都给一楼可种花种菜,新加坡花园,90,"7,001元/平",低楼层(共18层)3室2厅|128.57平米|南北
华夏金城 南北通透 带阳台 中间楼层 视野开阔 无遮挡,华夏金城,92,"9,380元/平",中楼层(共22层)2室1厅|98.09平米|南北
兴达花园 楼下就是地铁 南向一居室 户型规矩,兴达花园,75,"16,140元/平",中楼层(共6层)1室1厅|46.47平米|南
南北通透4楼 近车站市场 地势平 购物出行便利,锦泉中园,103,"13,125元/平",低楼层(共7层)2室1厅|78.48平米|南北
泡崖五区南北通透四居室两卫，精装修，拎包入住,泡崖五区,158,"11,226元/平",中楼层(共6层)4室2厅|140.75平米|南北
五一广场南向一室一厅三楼采光好,五一广场,69.8,"21,333元/平",中楼层(共5层)1室1厅|32.72平米|南
中楼层南北向 大连北北站一号线中间楼层,锦泉源D2区,76,"12,011元/平",高楼层(共6层)2室1厅|63.28平米|南北
南北通透，采光好，闹中取静，没土地出让金,莱州街,40.8,"8,130元/平",低楼层(共7层)1室1厅|50.19平米|南北
久寿河家家福 车站都比较方便 配套齐全 采光好,模具厂小区,12,"2,212元/平",高楼层(共7层)2室1厅|54.26平米|南
高新万达 双语 1楼 地势平坦 近车站 位置好,凌源街,58,"14,964元/平",低楼层(共5层)2室1厅|38.76平米|南
小户型精装楼层适中两室两厅光线好得房率高,红星海五期岚谷,80,"10,417元/平",低楼层(共11层)2室1厅|76.8平米|南
康平街 1楼 四室 南北 近九六七 恒隆广场 采光视野好,康平街,135,"12,459元/平",低楼层(共6层)4室1厅|108.36平米|南北
白云新村 康庄街 无坡 光线好 田字格户型,康庄街,90,"9,924元/平",低楼层(共6层)3室1厅|90.69平米|南北
环境好 物业好 出行方便  户型好 随时可签约,华发新城,70,"5,795元/平",高楼层(共30层)3室2厅|120.81平米|南北
枣园万象 中间楼层 婚房装修 看房方便随时可看,枣园万象,133.8,"14,389元/平",中楼层(共18层)3室2厅|92.99平米|东南北
天誉湾 前排看海精装修 两居室 天晴晴水蓝蓝亮堂呀,天誉湾,118,"13,475元/平",中楼层(共29层)2室2厅|87.57平米|南
房主自己装修，南北户型，保持可以，拎包即住！,鸿福家园,34.8,"5,302元/平",高楼层(共7层)2室1厅|65.64平米|南北
大华品质 电梯洋房，中间楼层一天未住 出小区就是地铁,大华公园世家,130,"14,834元/平",中楼层(共9层)3室2厅|87.64平米|南北
房子是正八经南北向两室带独立客厅采光充足。,工人村,57.8,"9,797元/平",中楼层(共7层)2室1厅|59平米|南北
壹言山水，面积73.59平，两室一厅一厨一卫,壹言山水,51.3,"6,972元/平",低楼层(共18层)2室1厅|73.59平米|南北
向阳街西二巷小区，四楼，采光视野无遮挡，拎包入住,向阳街西二巷,36,"6,358元/平",中楼层(共7层)2室1厅|56.63平米|南北
优山世家 4室2厅 南 北,优山世家,200,"9,821元/平",中楼层(共6层)4室2厅|203.66平米|南北
南沙 1室1厅 南 北,南沙,41.5,"10,293元/平",高楼层(共7层)1室1厅|40.32平米|南北
地势平坦，文化，四中。近商场，近车站，封闭小区,富贵家园,93,"9,712元/平",中楼层(共11层)2室2厅|95.76平米|南北
北京街3室中间楼层精装修阳光好,北京街北,118,"11,319元/平",中楼层(共7层)3室2厅|104.25平米|南北
房主诚心出售 南北通透户型客厅是落地窗,湾里西,46,"6,338元/平",中楼层(共6层)2室2厅|72.58平米|南北
港湾小，76， 此房近公交车站，出行方便。,椒房,53,"11,144元/平",低楼层(共3层)2室0厅|47.56平米|南北
此房满五唯一，带仓房拎包入住，配套成熟，出行方便,东才苑,46,"6,602元/平",高楼层(共6层)2室1厅|69.68平米|南北
雅苑里三室一楼带花园 精装修南北通厅 位置安静,观山悦,148,"14,708元/平",低楼层(共11层)3室1厅|100.63平米|南北
知润山 南北通厅 五明户型，北侧一中,知润山,79,"10,796元/平",高楼层(共18层)2室2厅|73.18平米|南北
凤凰层  精装保持好  采光视野佳  地势平坦  出行方便,中拥塞纳城,42.7,"5,640元/平",高楼层(共18层)2室1厅|75.71平米|南
金石天成精装修电梯洋房，小区邻居是金石万巷,大连金石天成,63.3,"8,314元/平",中楼层(共7层)2室1厅|76.14平米|东南西北
翡翠B区低楼层的，全天采光的不多，经典好房。,万科翡翠都会B区,145,"15,131元/平",低楼层(共27层)3室1厅|95.83平米|南北
楼层好，封闭小区，南北通透，采光充足,台四小区,97.5,"13,505元/平",中楼层(共6层)2室2厅|72.2平米|南北
新城大三室，中间位置中间户，通二号库，矮楼层不挡光,亿达国际新城,267,"18,023元/平",低楼层(共13层)3室2厅|148.15平米|南北
华南沃尔玛六平路 1室1厅 南,华南沃尔玛六平路,51.8,"12,829元/平",中楼层(共7层)1室1厅|40.38平米|南
新华人家电梯楼高楼层，看房方便,新华人家B区,26.7,"7,073元/平",高楼层(共11层)1室1厅|37.75平米|南
华南商圈 华润凯旋门二期 三室精装修 看园区优美风景,华润凯旋门二期,215,"17,533元/平",低楼层(共29层)3室2厅|122.63平米|南北
房主诚心卖，好楼层，好采光，自住装修,波菲蓝岛,67.5,"13,849元/平",高楼层(共33层)1室1厅|48.74平米|南
近三年装修 中间楼层 诚心出售,大华锦绣华城八期,288,"21,415元/平",中楼层(共26层)4室2厅|134.49平米|南北
千山路 山东路  中间楼层 户型方正 价格可议,苍山路,58.5,"11,080元/平",中楼层(共6层)2室1厅|52.8平米|南北
周水子广场小区中间位置，采光通透装修保持好,华北路（周水子商圈）,62,"12,713元/平",中楼层(共5层)2室1厅|48.77平米|南北
南北通透，两室一厅，无遮挡采光通风好，近四中。,孙家沟,39.8,"7,612元/平",高楼层(共7层)2室1厅|52.29平米|南北
金地新里程很好的房源，采光充足。,金地新里程,45,"7,533元/平",中楼层(共24层)2室1厅|59.74平米|西北
华润一期  中间楼层  可看海,华润海中国观海园,96,"10,963元/平",中楼层(共34层)2室2厅|87.57平米|南
石道街无坡  2楼南北向  适合养老或改善,桥东巷,49.9,"9,619元/平",低楼层(共6层)2室1厅|51.88平米|南北
马栏次新小区，电梯房，两室，光线好户型规矩 有车位,观山蝶恋花,93,"10,904元/平",中楼层(共20层)2室1厅|85.29平米|南
山东路两室 采光好 近千山路 近华联,苍山路,52,"10,217元/平",高楼层(共6层)2室1厅|50.9平米|南
体育场精装修三室高层，视野好，无遮挡，视野开阔，,万达体育新城,130,"12,692元/平",低楼层(共34层)3室2厅|102.43平米|南北
萍姐推荐小孤山中里南北两室五明户采光好交通便利,小孤山中里,34,"5,985元/平",中楼层(共6层)2室1厅|56.81平米|南北
高新近万达 近地铁  LOFT 房主诚心出售,菁英汇,88,"21,344元/平",高楼层(共19层)1室1厅|41.23平米|西北
南沙 1室0厅 南,南沙,43,"12,674元/平",中楼层(共7层)1室0厅|33.93平米|南
中南路 1室1厅 南,中南路,43,"8,644元/平",中楼层(共8层)1室1厅|49.75平米|南
此房满五年，楼层好视野开阔，近中山广场配套齐全,中山九号,185,"21,105元/平",高楼层(共32层)2室1厅|87.66平米|西北
金州北九里华润 前排无遮挡 看房方便 有钥匙,华润置地未来之城,108,"10,273元/平",高楼层(共18层)3室2厅|105.14平米|南北
70年产权 精装修loft CBD商圈，上下复式结构,金和苑,120,"20,983元/平",中楼层(共15层)2室1厅|57.19平米|南
望海39，一室一厅，金采光好，总房款低,39中望海街,72,"20,045元/平",高楼层(共5层)1室1厅|35.92平米|南
西岗区胜利桥大菜市温馨花园南北向5号线,温馨花园（胜利桥北商圈）,115,"9,841元/平",中楼层(共7层)2室2厅|116.86平米|南北
南北通透，好位置 荣域品质诚心卖,远洋荣域A4区,208,"19,148元/平",中楼层(共25层)3室2厅|108.63平米|南北
高云街 2室0厅 南,高云街,51,"9,033元/平",中楼层(共7层)2室0厅|56.46平米|南
中心裕景 2室1厅 东北,中心裕景,138,"14,252元/平",低楼层(共43层)2室1厅|96.83平米|东北
远洋荣域B3区 2室1厅 南,远洋荣域B3区,145,"19,311元/平",中楼层(共25层)2室1厅|75.09平米|南
苍山路 1室1厅 南,苍山路,38,"9,170元/平",高楼层(共7层)1室1厅|41.44平米|南
简装中间楼层，房主诚心卖，采光好，交通便利,王家桥小区,41,"9,964元/平",中楼层(共6层)1室1厅|41.15平米|南
佳兆业壹号三室一厅一卫房主诚心出售 看房子方便,佳兆业壹号,80,"8,283元/平",高楼层(共34层)3室1厅|96.59平米|南北
多层洋房精装修，近世界和平公园,美林西岸西岸风景,65,"5,122元/平",中楼层(共5层)3室2厅|126.92平米|南北
房子是自家装修，南北户型，产权明晰，随时可签。,逸馨园,38.5,"4,694元/平",中楼层(共6层)2室2厅|82.02平米|南北
泡崖市场 朝阳一室 采光好 出行便利 购物方便,泡崖三区,35.8,"9,489元/平",中楼层(共7层)1室1厅|37.73平米|南
亿达品质 精装修 从未住过 拎包即可入住 随时可看,亿达第一郡,70,"9,423元/平",高楼层(共10层)2室2厅|74.29平米|南北
小区是辽师大学家属楼，封闭管理 楼层好光线好,辽师,38,"10,064元/平",中楼层(共4层)2室0厅|37.76平米|南
南棉小区 低楼层 南北通透两室一厅 近早市,南棉小区,55,"7,312元/平",低楼层(共7层)2室1厅|75.22平米|南北
远洋时代城两室两厅精装修诚心出售,远洋时代城四期,65,"8,467元/平",低楼层(共22层)2室2厅|76.77平米|南
金地V时代 3室2厅 南 北,金地V时代,158,"15,155元/平",中楼层(共16层)3室2厅|104.26平米|南北
采光好，楼层好，装修好，近地铁近西安路,和泰万家,129,"16,490元/平",高楼层(共46层)2室1厅|78.23平米|南
新增南北两室装修保持还不错业主也诚心卖看房方便,新华绿洲,128,"15,066元/平",中楼层(共18层)2室2厅|84.96平米|南北西
新增壹品A区一室小户型位置安静中间户看房方便诚售,壹品天城,122,"30,493元/平",低楼层(共16层)1室1厅|40.01平米|南
华发新城二期家装房北门口位置好3室2卫带储藏间,华发新城,86,"6,966元/平",低楼层(共12层)3室1厅|123.47平米|南北
近轻轨 近市场 有大集 出行方便,大方麓岛兰湾,60,"6,864元/平",低楼层(共24层)2室2厅|87.42平米|南北
南向的房子 精装修  自己住 保持的好 手续齐全,远洋时代城四期,65,"8,481元/平",低楼层(共22层)2室2厅|76.65平米|南
海信家园 2室1厅 南,海信家园,29.8,"4,976元/平",低楼层(共7层)2室1厅|59.89平米|南
天下粮仓精装两室拎包住万科物业 中高楼层视野采光好,大连港天下粮仓,149,"20,262元/平",中楼层(共28层)2室1厅|73.54平米|南北
3路沿线 封闭小区精装2室有电梯采光充足楼层好诚心卖,西郊闲庭,103,"11,493元/平",低楼层(共19层)2室2厅|89.62平米|南北东
精装修 一线看海 拎包入住大平层,保利天禧三期海纳,650,"29,906元/平",高楼层(共38层)4室2厅|217.35平米|南北
丰元小区 2室2厅 南 北,丰元小区,225,"24,438元/平",中楼层(共7层)2室2厅|92.07平米|南北
"房子小区中间位置，精装修，空气清新,环境幽雅;",红星海时光的岸,219,"15,447元/平",中楼层(共9层)3室1厅|141.78平米|南北
石道街采光视野佳，房主诚心售房，可议价,花园巷,39,"8,362元/平",高楼层(共4层)2室1厅|46.64平米|南北
圈经推荐 封闭小区三面环山 空气好居住舒适,华邦俪城,80,"8,334元/平",高楼层(共22层)2室2厅|96平米|南
古城乙区，南北通透，采光好，位置佳,古城乙区,48,"8,068元/平",高楼层(共7层)2室1厅|59.5平米|南北
聚焦好房，楼层采光视野好，园区中间，一天未住纯新房,融创海逸长洲三四期,115,"12,913元/平",中楼层(共34层)2室2厅|89.06平米|南北
单价低  首付低  南北户型  出门公交车 站 学  校,鑫合小区,15,"2,600元/平",高楼层(共6层)2室1厅|57.7平米|南北
连大三期 精装修一室一厅 中间楼层 采光视野杠杠滴,连大文润金宸三期,62,"10,018元/平",低楼层(共26层)1室2厅|61.89平米|南
港湾观海满五，精装 两室 小高层,港湾观海,49.2,"8,262元/平",高楼层(共9层)2室1厅|59.55平米|南
近地铁精装修户型方正电梯中间楼层,鹏辉新天居三期,65,"10,952元/平",中楼层(共11层)2室1厅|59.35平米|南
一楼，房主婚房精装，好位置，有仓房，,宁海小区,56,"10,102元/平",低楼层(共7层)2室1厅|55.44平米|南
港湾山庄 3室2厅 东 西,港湾山庄,58,"8,662元/平",高楼层(共6层)3室2厅|66.96平米|东西
简装大三室，中间楼层，有装修，商圈配套成熟，有大集,都悦里,65,"6,500元/平",低楼层(共7层)3室2厅|100平米|南北
古城汇金小高层跃层精装修环境好.近快轨,天鸿1.7英里,45,"8,688元/平",高楼层(共11层)2室2厅|51.8平米|南
南北好户型，房主诚心卖，看好价格能谈。,恒安花园,68,"6,375元/平",高楼层(共11层)2室1厅|106.67平米|南北
玉山路 2室1厅 南 北,玉山路,69,"9,332元/平",高楼层(共7层)2室1厅|73.94平米|南北
金源南里 精装修 楼层好 采光好 视野好 拎包入住,金源南里,69.5,"9,570元/平",高楼层(共12层)2室1厅|72.63平米|南北
君悦天下2室多层精装修南向户型九三55,君悦天下,43,"7,544元/平",中楼层(共5层)2室2厅|57平米|南
市内电梯洋房 大改善五明户型 交通方便 配套成熟,北京公园,410,"29,190元/平",中楼层(共18层)3室1厅|140.46平米|北南
双南向挑担户型 卧室窗户都挺大的，采光好，没有遮挡,华润海中国听海园,95,"11,109元/平",低楼层(共34层)2室2厅|85.52平米|南
解放路道边 无坡 五楼 采光充足  近地铁,解放路（青云街商圈）,54,"10,943元/平",中楼层(共7层)1室1厅|49.35平米|南
央企物业 一线海景 7.5米开间大平层 南北通透 70年,保利天禧三期海纳,418,"25,749元/平",低楼层(共38层)3室2厅|162.34平米|南北
南向一室小户型 装修保持不错 总价低 房主诚心卖房,钰桥中央庭院,73,"14,264元/平",中楼层(共18层)1室1厅|51.18平米|南
小区环境好绿化好楼层好阳光通透屋内简装修提前一天联,中铁春风十里,37.8,"6,359元/平",低楼层(共10层)1室1厅|59.45平米|西南北
湾里南  三室  顶跃户型  采光充足   视野好  精装修,湾里南小区,54.8,"11,518元/平",高楼层(共16层)3室1厅|47.58平米|南
黑石礁广场 海洋银行家属楼 采光好 无坡,黑石礁广场,45,"9,636元/平",高楼层(共7层)1室1厅|46.7平米|南
书香 好房 精装修 田字格户型 采光好 近校元,书香府第二期,46,"9,968元/平",高楼层(共7层)2室1厅|46.15平米|南
体育新城绿城城园三期99平三室精装南向阳台均为落地窗,绿城诚园,198,"19,974元/平",高楼层(共11层)3室2厅|99.13平米|南北
利民旁位置佳 视野开阔无遮挡 全天采光充足 交通便利,玉浓街,53.8,"7,959元/平",高楼层(共6层)2室1厅|67.6平米|南北
近华南 乐活源 南北通厅 无遮挡 交通方便 拎包住,乐活源,108,"11,922元/平",高楼层(共11层)2室1厅|90.59平米|南北
诚心出售，空置有钥匙，随房有个15平仓房,倚园里小区,52,"6,173元/平",高楼层(共6层)2室2厅|84.25平米|南北
体育新城 精装修三室 采光好 交通便利,中航华府,135,"14,422元/平",低楼层(共27层)3室2厅|93.61平米|南北
旅顺口区鹿山园小区环境好，随时看房,鹿山园,43,"7,049元/平",中楼层(共18层)1室1厅|61.01平米|南
远乡维也纳小区，精装修，拎包入住，采光视野无遮挡,远乡维也纳,55,"6,352元/平",低楼层(共25层)2室1厅|86.59平米|西南
三室精装修保持的很好，房子位置采光视野好，看房方便,聚美东湾,91.8,"11,393元/平",高楼层(共18层)3室2厅|80.58平米|南北
远洋假日养生庄园，两室两厅，南北通透,远洋假日养生庄园,67,"8,516元/平",高楼层(共7层)2室2厅|78.68平米|南北
34 水仙  无坡 非顶层 采光好 精装修 好出租,34中纪念街,85,"24,349元/平",高楼层(共9层)1室1厅|34.91平米|南西
中海品牌开发商，人车分流，装修好，拎包可住有花园,中海天赋山一期,226,"17,720元/平",低楼层(共8层)3室2厅|127.54平米|南北
KUANG架房 封闭小区 南北 三楼 近周水前和刘家桥,东特新居,135,"14,445元/平",中楼层(共7层)2室2厅|93.46平米|南北
清水房屋，价格美丽，空间宽敞，户型适中,金科金弘基·集美郡,63,"7,737元/平",高楼层(共28层)2室1厅|81.43平米|南北
多层洋房 南北通透 体育公园 小区人员素质高,东方花园,310,"18,017元/平",高楼层(共4层)3室2厅|172.06平米|南北
封闭小区 三室两厅 精装修 人车分流 24小时安保110万,恒大港湾,110,"9,531元/平",中楼层(共28层)3室2厅|115.42平米|南北
"南北通透格局,一楼，视野开阔，采光充足",中冶蓝城C区,110,"16,258元/平",低楼层(共5层)2室2厅|67.66平米|南北
华邦俪城 三室两厅两卫 诚心出售 看房子提前预约,华邦俪城,110,"11,028元/平",低楼层(共21层)3室2厅|99.75平米|南北
昌盛一期小户型，西门口小高层，拎包住,昌盛经典一期,39.8,"7,237元/平",中楼层(共11层)1室1厅|55平米|南
满五唯一南向小户型多层中间楼层，南客厅南卧拎包入住,谷歌里,109.5,"17,275元/平",中楼层(共11层)1室1厅|63.39平米|南
于洼小区 2室1厅 南 北,于洼小区,42,"6,667元/平",中楼层(共5层)2室1厅|63平米|南北
2室电梯房中间楼层采光视野好简单装修近學校市场车站,北京街南,55,"8,967元/平",中楼层(共18层)2室2厅|61.34平米|西北
新上 中山区捷凤街 中间楼层两室 楼下车站 交通便利,捷凤街,67,"9,960元/平",中楼层(共7层)2室1厅|67.27平米|东北
电梯洋房 70年产权 跃层   看房方便,康馨壹品,89,"11,384元/平",高楼层(共18层)2室1厅|78.18平米|南北
近辽师地铁不靠道边不把边干净整洁 低楼层南北,辽师,59,"11,569元/平",低楼层(共5层)2室1厅|51平米|南北
西山水库 兴达花园 红旗  14  中间楼层 南北通透,兴达花园,110,"16,338元/平",高楼层(共6层)2室1厅|67.33平米|南北
金普广场 三室两卫户型，精装修，户型好,金普广场,85,"6,643元/平",低楼层(共6层)3室2厅|127.96平米|南
胜景家园 精装修拎包入住 位置安静 楼层好 视野好,胜景家园,98,"11,128元/平",高楼层(共24层)2室1厅|88.07平米|南
此房位置好，楼层佳，装修保持好，适合居住,金湖里,38.5,"12,740元/平",低楼层(共13层)1室0厅|30.22平米|南
电梯高层 看房方便 配套成熟 交通方便,北京街南,78,"12,097元/平",中楼层(共19层)2室1厅|64.48平米|南北
远洋自然 2室1厅 南 北,远洋自然,112,"14,469元/平",中楼层(共24层)2室1厅|77.41平米|南北
瀚林府南向一室一厅标准户型，精装修，看房有钥匙,瀚林府,60,"12,097元/平",高楼层(共33层)1室1厅|49.6平米|东南
买一层带一层 南北通透 全明户型,东城天下,56,"6,378元/平",高楼层(共6层)2室1厅|87.81平米|南北
翰林三期，电梯十楼，两室一厅，精装修。,翰林书香苑三期,44.8,"7,238元/平",高楼层(共11层)2室1厅|61.9平米|南北
华南商圈次新房电梯房，经典小户型,胜景家园,65.8,"11,675元/平",高楼层(共24层)2室1厅|56.36平米|南
河口湾北区海边景观两室 南北向 清水房,亿达河口湾二期,240,"27,003元/平",高楼层(共33层)2室2厅|88.88平米|南北
枫丹丽城精装修两室，拎包住，交通便利近地铁3号线。,枫丹丽城D5区,110,"13,450元/平",低楼层(共18层)2室2厅|81.79平米|南
洋房精装好位置好楼层一天未住视野采光无遮挡有车位,华润二十四城D区,280,"18,242元/平",中楼层(共6层)4室2厅|153.5平米|南北
华发新城一期开发商精装交房小区环境好刚需养老房,华发新城,46,"5,220元/平",低楼层(共24层)2室1厅|88.13平米|南
高档小区  实木装修  拎包即住  高档家电 家具,正鸿富贵南山,63,"6,894元/平",高楼层(共9层)2室2厅|91.39平米|南北
亿达春田晴湾三室精装修，前排无遮挡，采光视野好,亿达春田晴湾,172,"12,142元/平",低楼层(共24层)3室2厅|141.66平米|南北
抱龙山庄，面积36平，一室一厅一厨一卫,抱龙山庄,22,"6,112元/平",低楼层(共7层)1室1厅|36平米|南
独立小区，环境优美，适合用于婚房。,华晟春天,67,"7,419元/平",低楼层(共6层)2室1厅|90.31平米|南北
东港星光域 非填海东港高档小区 一梯一户,星光域二期,418,"30,980元/平",中楼层(共38层)3室2厅|134.93平米|南北
西岗地铁五号线 精装修两室 you院 低楼层适合老人居住,北海街（胜利桥北商圈）,66,"11,955元/平",低楼层(共8层)2室1厅|55.21平米|南北
中间楼层 南北通透户型 采光好 带装修 交通便利,香海花园,148,"16,934元/平",高楼层(共6层)2室1厅|87.4平米|南北
马栏兰丰巷 南北通透 标准户型 中间楼层,兰丰巷,43,"8,929元/平",中楼层(共6层)2室2厅|48.16平米|南北
孙家沟 南北一室 采光好配套齐全 交通方便,孙家沟,51,"11,324元/平",中楼层(共7层)1室1厅|45.04平米|南
香海小镇多层洋房 精装修87平 南北通厅户型,中庚香海小镇,50,"5,723元/平",中楼层(共5层)2室1厅|87.37平米|南北
洋房   实际面积大  楼层好 品牌装修  前面湿地公园,甜橙派,56.8,"6,519元/平",低楼层(共6层)2室2厅|87.14平米|南北
