名称,总价,单价,地址,信息,标签
聚亨路丨香水湾丨城西出售丨采光好丨随时看,257万,"19,793元/平",香水湾 -聚龙湖商圈,3室2厅 | 129.85平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,VR看装修
茶城花园，南北朝向，户型方正，采光良好，交通方便,110万,"8,567元/平",茶城花园 -东台市,3室2厅 | 128.4平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,VR看装修
楼层好，视野宽阔，采光通风好，视野开阔,109万,"8,212元/平",晨光满园 -东台市,3室2厅 | 132.74平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,VR看装修
采光充足，视野开阔，房东诚心.,64.8万,"8,029元/平",东城名苑(东进大道) -东台市,2室2厅 | 80.71平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,VR看装修/随时看房
佳源广场，品质小区，户型方正，双阳台 诚心出售,155万,"12,110元/平",佳源广场 -中南商圈,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,VR看装修/随时看房
茶城花园 5楼非顶层 房东诚心出售,95.8万,"12,200元/平",茶城花园 -东台市,2室1厅 | 78.53平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,VR房源
钻石楼层，房东诚心出售，合适可谈,129.8万,"11,343元/平",碧桂园新都荟西区 -东台市,3室2厅 | 114.44平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,VR看装修/随时看房
德惠尚书府 3室2厅 南,130万,"12,228元/平",德惠尚书府 -白马商圈,3室2厅 | 106.32平米 | 南 | 精装 | 低楼层(共16层)  | 塔楼,VR看装修/随时看房
茶城花园 好楼层 有30平朝南车库 合适价格可谈,130万,"10,864元/平",茶城花园 -东台市,4室1厅 | 119.67平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,VR房源/随时看房
金融城旁|紫薇花园|精装修三房|拎包即住,280万,"21,053元/平",紫薇花园(亭湖区) -聚龙湖商圈,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR房源
南金鹰旁 日月名苑精装2房 楼层好 采光佳 看房方便,89.8万,"9,714元/平",日月名苑 -聚龙湖商圈,2室2厅 | 92.45平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,VR看装修
大平层 品质装修 很少入住 小区中间位置 不临街,520万,"28,416元/平",龙泊湾 -聚龙湖商圈,4室2厅 | 183平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,VR看装修
半岛花园   毛坯 别墅后面 采光可以,114.9万,"9,992元/平",明新半岛花园 -潘黄商圈,3室2厅 | 115平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,VR看装修/随时看房
步行街，菜场 ，出脚方便，有汽车位，,99.8万,"12,714元/平",茶城花园 -东台市,2室1厅 | 78.5平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,VR看装修
朝阳新村 3室拎包入住  接小孩方便,69.5万,"7,943元/平",朝阳新村 -东台市,3室2厅 | 87.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,VR看装修
房东诚心出售看房联系房东养老层,67.8万,"7,551元/平",景范小区 -东台市,3室2厅 | 89.8平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,VR看装修
南北朝向格局，楼层好，业主诚心出售,82.8万,"5,473元/平",新坝小区 -东台市,3室2厅 | 151.31平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,VR看装修
紧靠中南大有镜，次顶楼层，采光充足，有车位,220万,"16,990元/平",奥体壹號 -中南商圈,3室2厅 | 129.49平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,VR看装修/随时看房
紫薇花园 楼层好 采光好 房东诚心出售,246万,"18,779元/平",紫薇花园(亭湖区) -聚龙湖商圈,3室2厅 | 131平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,VR看装修
茶城花园飞机户型南北双阳台带朝南大车库，好楼层，,139.8万,"10,888元/平",茶城花园 -东台市,3室2厅 | 128.4平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,VR看装修
阳光御园 采光充足，精装四房，位置佳交通便捷。,159.8万,"11,434元/平",阳光御园 -中南商圈,4室2厅 | 139.76平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,VR看装修
城南品质小区 采光视野均佳 晶都悦府 含车库车位,200万,"16,667元/平",晶都悦府 -中南商圈,3室1厅 | 120平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,VR房源/随时看房
南北通风，采光好，楼层好，房东诚心出售。,139万,"11,681元/平",茶城花园 -东台市,3室1厅 | 119平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,VR房源
香槟公馆 四房 装修清爽 置换诚心出售 配套齐全,160万,"12,067元/平",香槟公馆 -麦德龙商圈,4室2厅 | 132.6平米 | 南 北 | 精装 | 高楼层(共30层)  | 暂无数据,VR看装修
出售 都市名苑   门口就是风光带 出让满二 过户不贵,106万,"9,637元/平",都市名苑 -东台市,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,VR看装修
"小区绿化好,房型正,停车方便,小区安静舒适,整洁干净",180万,"12,588元/平",碧桂园一期 -麦德龙商圈,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,VR看装修
此房近教育资源 小朋友可以步行上学交通方便 生活便利,84万,"10,612元/平",东坝新村 -东台市,2室2厅 | 79.16平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,VR看装修
新港湾花园 141.3平 精装三室 满五年 多层五楼,116万,"8,210元/平",新港湾花园 -双元西路商圈,3室2厅 | 141.3平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,VR看装修
都市名苑 南北朝向 楼层好 视野开阔 配套设施齐全,120万,"11,112元/平",都市名苑 -东台市,3室2厅 | 108平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,VR看装修
出售 市区繁华路段 精装好楼层 四房,110万,"9,044元/平",毓龙公园5#组团 -新四军纪念馆商圈,4室2厅 | 121.64平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR看装修/随时看房
靠步行街，面积小总价低，位置佳，诚心出售,76.8万,"11,163元/平",茶城花园 -东台市,2室1厅 | 68.8平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,VR看装修/随时看房
小区配套齐全，出行方便，有公园生活多元化,105.8万,"8,882元/平",新桥小区 -东台市,3室2厅 | 119.13平米 | 西南 | 简装 | 中楼层(共6层)  | 板楼,VR看装修
城南 恒大帝景 聚龙湖商圈 小区环境优美 交通便利。,128万,"13,334元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 96平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,VR看装修/随时看房
聚龙湖商圈丨戴庄路出行方便丨户型方正毛坯随意装修丨,160万,"14,954元/平",观湖名邸 -聚龙湖商圈,3室1厅 | 107平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,VR房源/随时看房
城南 恒大帝景 聚龙湖商圈 小区环境优美 交通便利。,155万,"12,602元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,VR看装修
欧风花街旁，装修清爽三房，西区位置好,198万,"14,581元/平",金色水岸 -聚龙湖商圈,3室2厅 | 135.8平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,VR看装修
金色水岸，房东诚心出售，价格可以谈,200万,"15,385元/平",金色水岸 -聚龙湖商圈,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,VR看装修
中盐中旁， 带电梯，装修清爽，地段繁华，房东急售,130万,"19,223元/平",托球大厦 -缤纷亚洲商圈,2室2厅 | 67.63平米 | 南 西 | 精装 | 高楼层(共7层)  | 塔楼,VR看装修
城南 金辉城精装大三房边户 中楼层 诚心出售,125万,"10,522元/平",金辉城 -中南商圈,3室2厅 | 118.8平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,VR房源
此房精装修拎包入住南北通风户型方正阳光明媚随时看房,75.8万,"7,295元/平",金阳东方新城 -东台市,2室2厅 | 103.92平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,VR看装修
中南城旁 毛坯大三房 中上层 物业好 诚心出售,160万,"12,031元/平",奥体壹號 -中南商圈,3室2厅 | 133平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,VR看装修/随时看房
视野宽阔 户型 南北通风 品质小区 毛坯现房,149万,"15,361元/平",保利紫荆公馆 -亭湖高中商圈,3室2厅 | 97平米 | 南 | 毛坯 | 低楼层(共14层)  | 板楼,VR看装修/随时看房
此房满五唯一，精装修，直接拎包入住,85万,"8,430元/平",蓝色港湾 -东台市,2室2厅 | 100.84平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,VR看装修/随时看房
滨河花园 南北朝向，楼层好，视野宽阔，采光充足,84.8万,"8,986元/平",滨河花园(东台) -东台市,2室2厅 | 94.37平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,VR看装修
城南 恒大帝景 聚龙湖商圈 小区环境优美 交通便利。,155万,"12,602元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,VR看装修
城南 恒大帝景 聚龙湖商圈 小区环境优美 交通便利。,128万,"13,334元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 96平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,VR看装修/随时看房
金色水岸，房东诚心出售，价格可以谈,200万,"15,385元/平",金色水岸 -聚龙湖商圈,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,VR看装修
欧风花街旁，装修清爽三房，西区位置好,198万,"14,581元/平",金色水岸 -聚龙湖商圈,3室2厅 | 135.8平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,VR看装修
城投金开园 3室2厅 南,95.8万,"7,470元/平",城投金开园 -东台市,3室2厅 | 128.26平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,VR看装修/随时看房
佳源广场旁 次新小区 品质高 三房两卫 采光无影响,141万,"13,178元/平",佳源广场 -中南商圈,3室2厅 | 107平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,VR看装修/随时看房
金水湾4区带地面卷帘门车库，房子硬装到位电梯洋房。,238.8万,"17,821元/平",金水湾 -东台市,3室2厅 | 134平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,VR看装修
房子精装修，好楼层，东上首，飞机户型，全天采光不挡,126.8万,"11,043元/平",盛大华都 -东台市,3室2厅 | 114.83平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,VR看装修
金翰苑4室洋房，好楼层，精品装修，随时拎包入住。,125.8万,"9,768元/平",金翰苑 -东台市,4室2厅 | 128.8平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,VR看装修
城发站南润府西区3-1-1-1 98.05m²,48.8万,"4,978元/平",城发站南润府西区 -东台市,3室1厅 | 98.05平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,VR房源
温馨花园北区精装三房采光好诚意出售,129万,"11,999元/平",温馨花园北区 -缤纷亚洲商圈,3室2厅 | 107.51平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,VR看装修/随时看房
中海九樾总高8层电梯房 釆光好，户型方正 有车位,389万,"29,030元/平",中海九樾 -缤纷亚洲商圈,4室2厅 | 134平米 | 南 | 毛坯 | 高楼层(共8层)  | 暂无数据,VR看装修/随时看房
城投金开园 3室2厅 南,97.8万,"7,626元/平",城投金开园 -东台市,3室2厅 | 128.26平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,VR看装修/随时看房
北海花园南区四室两厅一厨两卫。,250.8万,"14,753元/平",北海花园南区 -东台市,4室2厅 | 170平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,VR看装修
通达国宾府三室朝南 毛坯房随意装修 需要看房随时联系,138万,"13,143元/平",通达国宾府 -中南商圈,3室1厅 | 105平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,VR看装修/随时看房
东台何垛桥风光带旁 舒适大三房 户型好 带21平大车库,80.8万,"6,997元/平",新宁住宅小区 -东台市,3室2厅 | 115.48平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,VR看装修
此房满二，采光好，视野开阔，户型方正，精装四室..,288万,"15,825元/平",金水湾 -东台市,4室1厅 | 182平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,VR房源
好房推介，走过路过别错过，好房好房,53万,"9,465元/平",瞰都公馆 -麦德龙商圈,1室1厅 | 56平米 | 南 | 毛坯 | 高楼层(共15层)  | 板塔结合,VR看装修/随时看房
此房为三室两厅一厨房一卫生间阳光不挡,62.8万,"5,591元/平",城发站南润府东区 -东台市,3室2厅 | 112.34平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,VR看装修
八佰伴旁2房2厅1厨1卫精装修拎包入住,75.8万,"7,910元/平",外贸公司宿舍 -东台市,2室2厅 | 95.83平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,VR看装修/随时看房
城发站南润府毛坯三室里厅一此房两卫生间,79.8万,"7,106元/平",城发站南润府东区 -东台市,3室2厅 | 112.3平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,VR看装修/随时看房
此房户型方正，南北通透，繁华地段。。。,208.8万,"14,958元/平",金鹰红兰名苑 -东台市,3室2厅 | 139.6平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,VR看装修
满五精装修，拎包入住，房东诚心出售，价格可议,105万,"9,080元/平",信拓东海国际 -东台市,3室2厅 | 115.64平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,VR看装修
东海国际  采光充足  交通便利   阳光不挡,83.6万,"8,894元/平",信拓东海国际 -东台市,2室2厅 | 94平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,VR看装修
品质小区  眺望南海未来城  医疗配套南附医,126万,"13,471元/平",佳源广场 -中南商圈,2室2厅 | 93.54平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,VR看装修/随时看房
日月星辰旁南壹中前总价低金色蓝庭小户型住宅,95万,"17,320元/平",金色蓝庭 -聚龙湖商圈,1室1厅 | 54.85平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,VR看装修
此房三开间朝南，视野开阔，采光好，房东诚心出售,88万,"8,462元/平",银杏巷 -东台市,4室2厅 | 104平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,VR看装修
两证齐全 户型房子 一梯一户 前排无遮挡 合适价可议,108万,"8,948元/平",望海西路AB楼 -东台市,3室2厅 | 120.7平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,VR看装修
城中花园， 交通方便， 生活便利。,89.8万,"8,677元/平",城中花园(东台市) -东台市,6室2厅 | 103.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,VR看装修
城发瑞府环境优美，采光充足，购物方便,125万,"8,681元/平",城发瑞府 -东台市,4室2厅 | 144平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,VR看装修/随时看房
此房前排精装修，品牌家电家具带朝南车库，出让满二年,138万,"10,843元/平",金阳东方新城 -东台市,3室1厅 | 127.28平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,VR看装修
东台碧桂园，精装两室，拎包入住，诚意出售,59.8万,"6,796元/平",东台碧桂园 -东台市,2室2厅 | 88平米 | 南 | 简装 | 低楼层(共29层)  | 板塔结合,VR房源
港湾明珠 楼层好  采光无遮挡 交通便捷,83万,"9,209元/平",港湾明珠 -张庄商圈,3室2厅 | 90.13平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,VR看装修
城南中海三房户型 全新装修 未入住 好楼层采光无遮挡,178万,"16,182元/平",中海万锦公馆 -中南商圈,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,VR看装修
.新弄里南附医旁，中间楼层，采光好。,179.8万,"13,029元/平",中南世纪城景城二区 -中南商圈,3室1厅 | 138平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,VR房源/随时看房
亭湖景山朗地英郡西区精装两房有车库,83万,"10,325元/平",朗地英郡西区 -富康路商圈,2室2厅 | 80.39平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,VR看装修
锦盛豪庭北苑 精装俩房 楼层好 采光佳 看房方便,159万,"18,489元/平",锦盛豪庭·北苑 -中南商圈,2室2厅 | 86平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,VR看装修
东坝新村养老层，采光好，三室拎包入住有车库,99.8万,"11,199元/平",东坝新村 -东台市,3室2厅 | 89.12平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,VR看装修
站南润府 4房2厅2卫 小区好位置 帝王楼层,78.8万,"5,310元/平",城发站南润府东区 -东台市,4室2厅 | 148.4平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,VR看装修/随时看房
楼层好 采光刺眼 毛坯 随意装修,175万,"12,153元/平",奥体玫瑰园B区 -中南商圈,3室2厅 | 144平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,VR看装修
锦盛豪庭北苑64平精装105万满2年,82万,"13,002元/平",锦盛豪庭·北苑 -中南商圈,1室1厅 | 63.07平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,VR房源
晨光满园，好楼层，3室，毛坯，阳光无挡。,76.8万,"6,161元/平",晨光满园 -东台市,3室2厅 | 124.66平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,VR看装修/随时看房
此房满五税费少家里干净清爽拎包入住,146万,"11,588元/平",湖畔花苑 -东台市,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共7层)  | 平房,VR看装修
城南金辉优步水岸毛坯大三房中南城户型方正随时看房,113.8万,"11,887元/平",金辉优步水岸 -中南商圈,3室2厅 | 95.74平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,VR看装修/随时看房
领秀嘉园 ，精装 带车库配套齐全，诚心出售,95万,"9,520元/平",领秀嘉园 -中南商圈,2室2厅 | 99.8平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,VR看装修
"视野宽阔,采光充足,配套实施齐,交通便利",63.8万,"7,253元/平",东台碧桂园 -东台市,2室2厅 | 87.97平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,VR看装修/随时看房
新桥小区  精装修 通透型，采光好，交通便捷诚心出售,75万,"8,334元/平",新桥小区 -东台市,3室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,VR看装修/随时看房
精装三房朝南双阳台 全面格局 中高楼层,159万,"15,200元/平",中南世纪城景城二区 -中南商圈,3室2厅 | 104.61平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,VR看装修/随时看房
品质小区，品质物业，户型方正，采光佳。,169.8万,"12,300元/平",奥体玫瑰园B区 -中南商圈,3室2厅 | 138.05平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,VR看装修/随时看房
南北通透，飞机户型，四室两厅两卫，四开间朝南…,99.8万,"6,937元/平",站前公寓 -东台市,4室1厅 | 143.88平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,VR房源/随时看房
万锦公馆 品质小区 三开间朝南 小区中间位置 采光好,163.8万,"12,390元/平",中海万锦公馆 -中南商圈,3室2厅 | 132.21平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 塔楼,VR看装修/随时看房
城南  中南世纪城景城二区   三房精装   好楼层,170万,"16,251元/平",中南世纪城景城二区 -中南商圈,3室2厅 | 104.61平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,VR看装修
中海万锦公馆，品质小区，品质物业，户型方正，采光好,166万,"12,556元/平",中海万锦公馆 -中南商圈,4室2厅 | 132.21平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 塔楼,VR看装修/随时看房
东方一品 配套全 养老层 位置好 配车库,82万,"9,112元/平",东方一品 -东台市,2室2厅 | 90平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,VR看装修/随时看房
锦盛豪庭北苑 城南高品质住宅 看房方便,83万,"8,830元/平",锦盛豪庭·北苑 -中南商圈,2室2厅 | 94平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,VR看装修
中南四期，房东诚心出售 ，看房方便， 采光没问题。,115万,"15,541元/平",中南世纪城景城一期 -中南商圈,2室2厅 | 74平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,VR看装修
城南 中南商圈 中南三期 康城 毛坯,199万,"13,235元/平",中南世纪城康城三期 -中南商圈,4室2厅 | 150.37平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,VR看装修/随时看房
城东双区 889旁 采光好 带车库,105.8万,"9,200元/平",朗地英郡东区 -富康路商圈,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,VR看装修
戴庄路旁 锦盛豪庭北苑，精装，拎包入住,108万,"12,524元/平",锦盛豪庭·北苑 -中南商圈,2室1厅 | 86.24平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,VR房源
金水湾，满五唯一，好楼层，有车位，诚心出售。,102万,"10,546元/平",金水湾 -东台市,2室2厅 | 96.72平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,VR看装修
金水湾，满五唯一，好楼层，有车位，诚心出售。,102万,"10,546元/平",金水湾 -东台市,2室2厅 | 96.72平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,VR看装修
港湾明珠 楼层好  采光无遮挡 交通便捷,83万,"9,209元/平",港湾明珠 -张庄商圈,3室2厅 | 90.13平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,VR看装修
东园新村  好楼层  附 小本部  社区成熟 出脚方便,64.8万,"8,924元/平",东园新村 -东台市,3室1厅 | 72.62平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,VR看装修
麦德龙商圈  毛坯三房   中上楼层  随意装修   采光好,136万,"9,950元/平",興城家園 -麦德龙商圈,3室2厅 | 136.69平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,VR看装修
新桥小区  精装修 通透型，采光好，交通便捷诚心出售,75万,"8,334元/平",新桥小区 -东台市,3室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,VR看装修/随时看房
此房为现代精装，布局合理，无浪费空间，好楼层,61万,"9,154元/平",东园新村 -东台市,2室1厅 | 66.64平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,VR看装修
聚龙湖商圈，恒大帝景， 房东诚心出售，看房方便,155万,"12,029元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 128.86平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,VR看装修/随时看房
中南城旁 精装三房 小区前排 视野采光好 随时看房,119.8万,"11,670元/平",中南世纪城景城一区  -中南商圈,3室1厅 | 102.66平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,VR房源
城南 恒大帝景 聚龙湖商圈 小区环境优美 交通便利。,138万,"11,293元/平",恒大帝景 -聚龙湖商圈,3室2厅 | 122.2平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,VR看装修
中南商圈 精装修 价格便宜 诚信出售,169.9万,"11,718元/平",中南世纪城景城二区 -中南商圈,4室2厅 | 145平米 | 东南 | 精装 | 低楼层(共34层)  | 板楼,VR看装修/随时看房
精装修三房采光好香槟公馆，房东诚心出售,143万,"10,702元/平",香槟公馆 -麦德龙商圈,3室2厅 | 133.62平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,VR看装修
大复式带新装修阳光房，精装飞机户型，拎包入住。,102.8万,"8,423元/平",金海康城 -东台市,3室1厅 | 122.05平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,VR房源/随时看房
锦盛豪庭北区，小区前排小三房，含车库,128万,"11,328元/平",锦盛豪庭·北苑 -中南商圈,3室2厅 | 113平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,VR看装修
金海康城 采光好 精装90平 86.8万 拎包入住,85.5万,"9,500元/平",金海康城 -东台市,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,VR看装修
城南新弄里旁金辉优步水岸毛坯三开间朝南可自主装修,210万,"15,372元/平",金辉优步水岸 -中南商圈,4室1厅 | 136.62平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,VR看装修
城南高品质小区 毛坯 装修自由发挥 阔绰三房 嗨专的专,158万,"14,120元/平",通银·天御 -中南商圈,3室2厅 | 111.9平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,VR看装修/随时看房
品质小区，户型方正，双阳台 诚心出售看房随时,128万,"12,953元/平",佳源广场 -中南商圈,3室2厅 | 98.82平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,VR看装修/随时看房
新都花园售价100万 三房 诚心,75万,"7,979元/平",新都花园 -聚龙湖商圈,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,VR看装修
聚龙湖凤鸣缇香精装 中上楼层满五唯一拎包即住,105万,"13,004元/平",凤鸣缇香 -聚龙湖商圈,2室1厅 | 80.75平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,VR房源
凤凰文化广场，精装未住，两间打通 带地暖，诚心卖！,218万,"15,835元/平",凤凰文化广场 -聚龙湖商圈,3室2厅 | 137.67平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,VR看装修/随时看房
聚龙湖商圈丨品质小区丨随时可看丨装修很好,225万,"16,305元/平",金色水岸 -聚龙湖商圈,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,VR看装修
凤鸣缇香精装修2房，户型好采光没有影响，,125万,"13,537元/平",凤鸣缇香 -聚龙湖商圈,2室2厅 | 92.34平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,VR看装修
环境优美，绿化面积大，户型好，采光好，南北通透。,105万,"9,114元/平",熙悦佳园 -东台市,3室2厅 | 115.21平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,VR看装修/随时看房
交通出行方便，环保自行车，公交，高速，高铁站,77万,"9,701元/平",北海花园 -东台市,2室2厅 | 79.38平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,VR看装修/随时看房
此房价格便宜，配套齐全，采光好，业主诚意出售，,123.8万,"10,017元/平",金阳东方新城 -东台市,3室2厅 | 123.6平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,VR看装修
电梯房，采光好，不遮挡，精美装修,132.8万,"10,368元/平",北海花园 -东台市,3室2厅 | 128.09平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,VR看装修
东园新村精装修阳光无挡直接拎包入住,71.8万,"9,325元/平",东园新村 -东台市,3室1厅 | 77平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,VR看装修/随时看房
房东诚心出售。好楼层，采光无挡,119.8万,"9,740元/平",城中花园(东台市) -东台市,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,VR房源
采光充足，视野开阔，诚心出售，交通便捷,65万,"8,525元/平",城中花园(东台市) -东台市,2室1厅 | 76.25平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,VR看装修
小区环境优美，楼层好，设施齐全,90.5万,"8,009元/平",熙悦佳园 -东台市,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,VR看装修/随时看房
万水清华精装修三房 飞机户型 位置好  诚心出售,199.8万,"14,105元/平",万水清华 -东台市,3室2厅 | 141.66平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,VR看装修
金融城70年产权二居室住宅 居住适宜出行购物十分方便,145万,"15,782元/平",金融城中央公馆 -聚龙湖商圈,2室2厅 | 91.88平米 | 西 | 毛坯 | 高楼层(共36层)  | 板塔结合,VR房源/随时看房
