名称,总价,每平方单价,小区名称,地址,房型,面积,朝向,楼层,建造时间
首付2成，出价即卖，南北通透三房，红五一产权,239万,27866元/㎡,龙珠花园(龙岗),布吉-布吉关-京南路20号,3室2厅1卫,85.77㎡,南北,低层(共30层),1999年建造
南头 次新小区 刚需小三居 临地铁 交通便利 产权清晰,600万,75672元/㎡,乐尚林居,南山-南头-中山园路,3室2厅1卫,79.29㎡,南北,中层(共29层),2020年建造
（核验房源）深业中城双龙抱珠户型  次顶楼 高层视野非常好,2480万,187822元/㎡,深业中城,福田-香蜜湖-红荔西路,3室2厅2卫,132.04㎡,南北,高层(共30层),2020年建造
锦绣御园新出精装三房，全新装修，随时看房,540万,46552元/㎡,锦绣御园,龙华-龙华-高翔路28号,3室2厅2卫,116㎡,南北,中层(共27层),2013年建造
电梯房 出行方便 高绿化 医疗配套成熟 商业配套齐全 临地铁,260万,36641元/㎡,信义锦绣花园,龙岗-横岗-恒心路9号,2室2厅1卫,70.96㎡,南,中层(共11层),2007年建造
假日湾好房，华侨城湖景大三房，全新装修，视线好，居住舒适,955.2万,78100元/㎡,假日湾,南山-华侨城-潮州西街6号,3室2厅2卫,122.31㎡,南,中层(共27层),2006年建造
清盘价！红山地铁口131平4房2卫！豪装,553万,42086元/㎡,龙光玖钻,龙华-民治-中梅路,4室2厅2卫,131.4㎡,南北,低层(共46层),2017年建造
新出笋盘~~~业主急卖换房！！布吉站旁，通达罗湖福田，大社区,250万,29070元/㎡,国展苑,布吉-布吉关-龙岗大道1051号,3室2厅1卫,86㎡,南北,低层(共34层),2000年建造
深圳北站！红山地铁口！精装3房！位置安静 红本满5 税少,385万,52878元/㎡,红山6979,龙华-民治-民繁路,3室2厅1卫,72.81㎡,南,中层(共13层),2021年建造
荣超花园精装三房 南北通透双阳台 欢迎参观咨询,270万,30124元/㎡,荣超花园,布吉-布吉关-荣华路295号,3室2厅1卫,89.63㎡,南北,高层(共7层),1999年建造
新上硬货！送  东南向大三房  视野采光好 急售 满五红本,848万,68498元/㎡,星海名城(六期),南山-前海-前海路3101号,3室2厅2卫,123.8㎡,东南,中层(共31层),2007年建造
木棉湾 正规商品房 满二 临地铁 高楼层视野好 商业配套齐全,320万,45115元/㎡,佳兆业可园(北区),布吉-木棉湾-湖中路,2室2厅1卫,70.93㎡,北,高层(共23层),2004年建造
业主离开深圳急卖  价格都好谈 凤凰楼层 装修保养也很好,2120万,129775元/㎡,前海时代,南山-前海-桂湾五路128号,4室2厅3卫,163.36㎡,南北,高层(共11层),2017年建造
等钱发工资急卖看中价钱可以再少30个坪山中心外国语  玺悦台,230万,26798元/㎡,玺悦台,坪山-坪山-宝横路,3室2厅1卫,85.83㎡,南北,低层(共32层),2018年建造
颠的笋盘出现了！南北通透 装修豪华大气 红五税费少,630万,50144元/㎡,京基御景中央(二期),龙岗-大运-飞扬路,4室2厅2卫,125.64㎡,南北,低层(共30层),2018年建造
招商依山郡 户型方正，深中，地铁 有电梯 诚心售,370万,50644元/㎡,招商依山郡,龙岗-龙岗中心城-黄阁路152号,2室2厅1卫,73.06㎡,南北,低层(共19层),2009年建造
福田CBD莲花山下，小区z笋房源，业主急卖,760万,58915元/㎡,天一名居,福田-景田北-商报东路125号,3室2厅2卫,129㎡,西北,中层(共32层),2000年建造
带电梯 中间楼层采光好 商业配套齐全 近医院 双卫生间,938万,67585元/㎡,金成时代家园,宝安-宝体-罗田路16号,4室2厅2卫,138.79㎡,东南,中层(共19层),2005年建造
首付69万上车深中，二期装修好，位置好，视野开阔，诚心卖！,345万,44101元/㎡,颐安麓园,龙岗-龙岗中心城-黄阁路,2室2厅1卫,78.23㎡,南,低层(共35层),2015年建造
山语大4房诚心出售 企业力荐好房诚意出售,1650万,93152元/㎡,山语清晖花园,福田-香蜜湖-福龙路,4室2厅3卫,177.13㎡,南北,低层(共22层),2014年建造
南山~龙珠军苑~自住装修~客厅朝南~落地窗,230万,32858元/㎡,龙珠军苑,南山-桃源村-龙苑路9号,3室2厅2卫,70㎡,南北,中层(共32层),2017年建造
华富村|华富路4室2厅2卫115平方米,1240万,107827元/㎡,华富村,福田-华强北-华富路,4室2厅2卫,115㎡,西南,中层(共43层),2023年建造
现230  楼下天虹商场14号线锦龙地铁口 满五一红本在手,271万,30716元/㎡,力高君御国际,坪山-坪山-坪山大道2002号,4室2厅5卫,88.23㎡,南北,低层(共33层),2018年建造
新上出国急卖，资金快的速来，荔园红岭可以用，价格还可以谈,380万,118750元/㎡,宝树台,福田-华强北-燕南路31号,1室0厅1卫,32㎡,东,高层(共28层),2018年建造
红坳新居南北户型~明厨明卫采光好~看房随时~拎包入住,260万,29214元/㎡,红坳新居,光明-光明-皇新路58号,3室2厅2卫,89㎡,南北,中层(共35层),2020年建造
万科物业，业主急卖大甩价，满五年红本，出行和购物都很方便,558万,44021元/㎡,万科天誉(二期),"龙岗-龙岗中心城-龙翔大道,近德政路",4室2厅2卫,126.76㎡,南北,低层(共50层),2017年建造
一梯二户 南北通透 精装四房 看园景 红本五年 地铁口物业,860万,59221元/㎡,鹏兴花园(三期),罗湖-莲塘-莲塘路250号,4室2厅3卫,145.22㎡,南北,中层(共10层),2003年建造
南国丽园精装通透大4房，看房联系楼下小袁,845万,62431元/㎡,南国丽园,龙华-龙华-东环一路,4室2厅2卫,135.35㎡,东南,低层(共16层),2007年建造
临深14号线地铁口，来电送车位，送家私，可用公积金,60万,6296元/㎡,珠江四季悦城,深圳周边-惠州-龙海二路,3室2厅1卫,95.3㎡,南,中层(共32层),2015年建造
深业东城国际 停车方便 近地铁 电梯房 精装可拎包入住,218万,29203元/㎡,深业东城国际,坪山-坪山-锦龙大道,3室2厅1卫,74.65㎡,东南,高层(共33层),2013年建造
次新房未入住，业主急卖265 可谈  包税费欢迎砍价咨询,265万,26812元/㎡,恒大成(二期),坪山-坪山-松坪路,3室2厅2卫,98.84㎡,南北,高层(共39层),2018年建造
店长力荐 劲爆酱嫁70萬急售 满五年 免个税 朝南 双地铁,198万,29509元/㎡,怡乐花园,布吉-丹竹头-布澜路2号,2室2厅1卫,67.1㎡,南北,低层(共11层),2002年建造
业主自住的房子，设计得比较好，利用率高，价格实惠，低税费,305万,39985元/㎡,阳基御龙山,龙华-观澜-福前路69-1号,3室2厅1卫,76.28㎡,西南,低层(共31层),2018年建造
福田福民 明星楼盘金港豪庭99平4房2厅2卫双阳台 看房约,770万,77739元/㎡,金港豪庭,福田-皇岗-金田路1001号,4室2厅2卫,99.05㎡,南北,低层(共32层),2003年建造
南北3房全新装修拎包入住 近关口商业地铁 看房方便价格可谈！,730万,73597元/㎡,金港豪庭,福田-皇岗-金田路1001号,3室2厅1卫,99.19㎡,南北,中层(共32层),2003年建造
220万买地铁口2013年住宅小区高层朝南，螺岭  螺岭中学,220万,32748元/㎡,港澳8号,罗湖-东门-深南东路2118号,2室2厅1卫,67.18㎡,南,高层(共36层),2013年建造
高层南向看中芯区，诚售可谈，小区总价  ，产权  ,1080万,91728元/㎡,银湖蓝山润园,罗湖-银湖-北环大道1028号,3室2厅2卫,117.74㎡,南北,高层(共36层),2017年建造
诚售端户，来电可看！正观深圳湾，看海看高尔夫！,3300万,181819元/㎡,红树西岸,南山-华侨城-深湾一路3号,3室2厅3卫,181.5㎡,东南,高层(共31层),2005年建造
中心区大花园，人车分流，单价五字头！,820万,61608元/㎡,辛诚花园,福田-岗厦-福华三路11号,4室2厅2卫,133.1㎡,南北,中层(共12层),2003年建造
蚝业雅苑~3居室~单价低~南朝向~委托已签,160万,22858元/㎡,蚝业雅苑,宝安-西乡-盐田新一村九巷,3室2厅1卫,70㎡,南,高层(共30层),2015年建造
正南北朝向！20层以上在售高层好房！保养如新！装修精致！,5680万,341922元/㎡,恒裕滨城(二期),南山-后海-中心路2001号,4室2厅3卫,166.12㎡,南北,中层(共46层),2018年建造
单价6万）福田中心区新洲 近地铁 环境安静 视野开阔 大阳台,762万,60960元/㎡,嘉洲豪园,福田-新洲-滨河大道9013号,3室2厅2卫,125㎡,南,中层(共20层),2001年建造
地铁口物业 精装复式 成熟社区 业主急卖 满5,680万,56180元/㎡,全盛紫悦龙庭,龙岗-龙岗中心城-吉祥路663号,4室2厅2卫,121.04㎡,南北,低层(共31层),2015年建造
业主忍痛割爱！单价5万多买西丽地铁口正规3房两卫！带精装修！,579万,57999元/㎡,丽苑阁,南山-西丽-沙河西路3280号,3室2厅2卫,99.83㎡,北,中层(共9层),2001年建造
一口价（7OW)临深沙田站  八期笋盘，无欠款，红本在手,85万,9024元/㎡,卓越东部蔚蓝海岸,深圳周边-惠州-石化大道西66号,3室2厅2卫,94.2㎡,南北,中层(共32层),2021年建造
可谈30万  看房方便 楼层好,300万,88236元/㎡,愉天小区,罗湖-翠竹-田贝四路43号,1室1厅1卫,34㎡,南北,高层(共7层),1982年建造
碧海  热点小区！随时看，首付2成就可以买！,355万,66592元/㎡,碧海富通城三期,宝安-西乡-兴业路3003号,2室1厅1卫,53.31㎡,南北,高层(共26层),2008年建造
奥园精装大四房 价格可谈 满五   看房方便 交易安全,280万,26344元/㎡,奥园翡翠东湾(一期),坪山-坪山-金牛东路,4室2厅2卫,106.29㎡,南,高层(共32层),2019年建造
深圳北站红山地铁口！精装4房！ 高档小区！位置安静 视野好,683万,60140元/㎡,龙光玖悦台,龙华-莱蒙水榭春天-人民路,4室2厅2卫,113.57㎡,南,中层(共36层),2021年建造
悦峰尚府 实用型三房258带装修  电梯房  可拎包入住,258万,38508元/㎡,悦峰尚府,罗湖-草埔-新棉路,3室2厅1卫,67㎡,南北,高层(共51层),2022年建造
水榭花都花园品质豪宅南北通透户型，业主香港买房急售,4380万,219099元/㎡,水榭花都,福田-香蜜湖-红荔西路8004号,5室2厅3卫,199.91㎡,南,中层(共30层),2005年建造
新出 靓盘赶紧抢 东南向客厅出阳台,2680万,142448元/㎡,香山美墅,南山-华侨城-沙河东路376号,4室2厅2卫,188.14㎡,南北,高层(共42层),2018年建造
标杆小区 高楼层视野开阔 业主诚心出售 看房随时联系,950万,120026元/㎡,博林天瑞,南山-大学城-留仙大道4088号,3室2厅2卫,79.15㎡,西南,高层(共48层),2015年建造
（新政后 多次调价）全屋精致装修   可以用 电梯小高层,1290万,100296元/㎡,城市绿洲花园,福田-华强北-深南中路4020号,4室2厅2卫,128.62㎡,西南,低层(共15层),2001年建造
裕宏园三房卖205，中心地段，低压低门槛，地铁口上面，配套齐,247万,32078元/㎡,裕宏园,盐田-盐田-东海道204号,3室2厅1卫,77㎡,南北,高层(共8层),2004年建造
宏发天汇城(二期) 出行方便 满五   正规商品房 楼龄新,460万,44270元/㎡,宏发天汇城(二期),光明-公明-松白路4699号,3室2厅3卫,103.91㎡,南,低层(共32层),2018年建造
龙华北！地铁口！全新精装3房 学  校家门口  位置安静,335万,42449元/㎡,万科启城家园,龙华-龙华区政府-碧澜路,3室2厅1卫,78.92㎡,南,中层(共48层),2021年建造
"业主紧急让50W,上车，成交业主，再次置换，品质小区",800万,68529元/㎡,广兴源圣拿威,宝安-坪洲-海城路,4室2厅2卫,116.74㎡,南北,低层(共18层),2013年建造
金凤凰豪苑~正规3室2厅~楼层好~户型方正~房龄新,116万,16227元/㎡,金凤凰豪苑,龙华-清湖-和平路,3室2厅2卫,71.48㎡,南北,中层(共12层),2020年建造
（红本，大产权）（30）w全包过户，来电送车位，拎包住,180万,28572元/㎡,留仙苑,南山-西丽-沙河西路3291号,2室2厅1卫,63㎡,南北,中层(共12层),2019年建造
圆龙园花园小区，东南向4房，总价一字头，钥匙在手，出价就签,1260万,86349元/㎡,圆龙园,福田-园岭-园岭四街16号,4室2厅2卫,145.92㎡,南北,高层(共32层),2002年建造
19年次新宝树台 华强北视野！业主诚心出售,360万,112010元/㎡,宝树台,福田-华强北-燕南路31号,1室0厅1卫,32.14㎡,西,高层(共28层),2018年建造
云景豪园精装2居室 业主急麦 比同户型单价底,280万,38889元/㎡,云景豪园,罗湖-国贸-春风路2033号,2室1厅1卫,72㎡,南北,中层(共33层),2002年建造
这套房子实用面积很大哦 次新小区 精装大三房 正南朝向采光好,350万,44758元/㎡,全盛紫云庭,龙岗-龙岗中心城-回龙路4号,3室2厅1卫,78.2㎡,南,中层(共32层),2015年建造
鹏兴花园二期高层两房，楼下是地铁口，端头位没遮挡，看房方便,310万,51113元/㎡,鹏兴花园(二期),罗湖-莲塘-莲塘路350号,2室1厅1卫,60.65㎡,南北,高层(共16层),2001年建造
御峰园，豪装大四房，赠送多，拎包入住，515万急卖,515万,33013元/㎡,御峰园,龙岗-平湖-凤凰大道108号,4室2厅2卫,156㎡,南,低层(共33层),2017年建造
240 朝南 满五 近地铁近  ,240万,25519元/㎡,心海城,坪山-坪山-比亚迪路,3室2厅2卫,94.05㎡,南北,低层(共32层),2016年建造
，首地荣御一期，可加一个工作室。,838万,68403元/㎡,一辉花园,南山-华侨城-香山西街,3室2厅2卫,122.51㎡,南北,中层(共8层),1997年建造
285 精装 高楼层 视野杠杠的   不是顶楼,285万,37451元/㎡,仁恒峦山美地,"龙岗-宝龙-宝荷路,近沙荷路",3室2厅2卫,76.1㎡,南,高层(共32层),2014年建造
平湖佳兆业广场，降级急卖 全新两房 成熟小区，近地铁,245万,35621元/㎡,平湖佳兆业广场,龙岗-平湖-守珍街70号,2室2厅1卫,68.78㎡,南,低层(共32层),2019年建造
送车位，，一口（价）（58.8.....W），沙田站800米,79.8万,8794元/㎡,碧桂园深荟城,深圳周边-惠州-白云一路,4室2厅2卫,90.75㎡,南北,低层(共32层),2020年建造
2015年次新小区 南北通透2房  业主诚心出售  看房方便,520万,65533元/㎡,润恒尚园,"宝安-西乡-宾隆路,近A2路",2室2厅1卫,79.35㎡,南北,中层(共29层),2015年建造
业主3折急售，超大横厅观海阳台，全新空房未住过，价格不是问题,32万,3979元/㎡,万科双月湾,深圳周边-惠州-210县道,2室2厅2卫,80.44㎡,南,中层(共32层),2020年建造
好停车，旁边万象汇~~业主看中房子，价格都可以谈！花园大社区,340万,45681元/㎡,信义荔山公馆,布吉-信义-百鸽路180号,2室2厅1卫,74.43㎡,南北,低层(共30层),2009年建造
近地铁站！出好房 精装修 精装修 南向视野好 可拎包入住,90万,12163元/㎡,塘尾球场小区,光明-公明-塘尾路,3室2厅2卫,74㎡,东南,低层(共16层),2015年建造
"圣拿威法式园林，精装大2房,390W",390万,69968元/㎡,广兴源圣拿威,宝安-坪洲-海城路,2室2厅1卫,55.74㎡,西南,低层(共31层),2012年建造
两佰wan豪装 ，容积率仅1.38，小高层，正规大四房，,2180万,131263元/㎡,瑞河耶纳(汀兰鹭榭花园),南山-华侨城-白石三道8号,4室2厅2卫,166.08㎡,东南,高层(共8层),2005年建造
布吉地铁站三条线，小两房急售，价格可议,185万,33760元/㎡,翡翠星光园,布吉-布吉关-京南路22号,2室1厅1卫,54.8㎡,北,高层(共28层),2006年建造
华富村大四房，中心公园景观，福田热点小区，2023年现房,1200万,96000元/㎡,华富村,福田-华强北-华富路,4室2厅2卫,125㎡,南北,高层(共50层),2023年建造
14XX，业主置换别墅，诚心出售 价格可以沟通,1499万,90744元/㎡,阳光粤海花园,南山-科技园-科技南一路1号,4室2厅3卫,165.19㎡,南北,低层(共42层),2019年建造
550买沙头角头排海景大三房  出国急售  随时看房,550万,45097元/㎡,棕榈湾,盐田-沙头角-海景二路1125号,3室2厅2卫,121.96㎡,南,低层(共24层),2004年建造
总价215万买龙岗中心城龙园地铁站全新精装三房 业主诚心急售,215万,33077元/㎡,劲嘉龙园印象,龙岗-南联-碧新路2274号,3室2厅1卫,65㎡,东南,高层(共18层),2016年建造
西荟城四期核心地段，核心位置，诚意出售 ！！,260万,37962元/㎡,西荟城四期,宝安-沙井-新沙路529号,2室2厅1卫,68.49㎡,南北,中层(共32层),2017年建造
业主急卖）香蜜湖一号 中大平面层 看湖景带固定车位,6488.1万,224355元/㎡,香蜜湖一号,福田-香蜜湖-香梅路1089号,5室2厅2卫,289.19㎡,南北,中层(共24层),2007年建造
婚房可选可园南区2房高楼层看花园，满五年  ，保养好拎包入住,350万,48117元/㎡,佳兆业可园(南区),布吉-百鸽笼-湖西路,2室2厅1卫,72.74㎡,北,中层(共18层),2006年建造
壹方玖誉大面积超高层，面朝大海，三面采光南北通,5800万,154787元/㎡,壹方中心,宝安-宝安中心区-新湖路99号,4室3厅4卫,374.71㎡,东南,高层(共43层),2018年建造
碧湾居 正规3居 拎包入住 婚房   社区环境,135万,25962元/㎡,碧湾居,宝安-固戍-宝源路,3室2厅2卫,52㎡,南北,中层(共12层),2019年建造
深外新上，总价5XX！随时看房，业主专人对接,530万,88511元/㎡,浩铭财富广场,福田-车公庙-香林路7号,1室2厅1卫,59.88㎡,南北,中层(共25层),2003年建造
依旧换新 业主调价出售龙城广场地铁口深圳未来双语 看龙岗河,311万,28276元/㎡,东方明珠城,龙岗-龙岗中心城-龙河路19号,3室2厅2卫,109.99㎡,南北,高层(共32层),2008年建造
深圳北站高端小区！民治双地铁口精装4房 ！独门独户位置安静,660万,55933元/㎡,万福花园,龙华-金地梅陇镇-布龙路,4室2厅2卫,118㎡,南北,中层(共32层),2021年建造
龙华红山绿景公馆1866笋盘，业主急出，首付100万即可,1450万,90711元/㎡,绿景公馆1866(北区),龙华-民治-旺民街,4室2厅2卫,159.85㎡,南北,中层(共28层),2013年建造
一手新房源 不到1600万润深圳湾悦府二期 视野开阔只缴契税,2250万,210655元/㎡,华润深圳湾悦府(二期),南山-后海-科苑南路2800号,1室2厅1卫,106.81㎡,南北,中层(共44层),2017年建造
华侨城天鹅堡中间楼栋新出高层海景房200.77平31书房！,2460万,122529元/㎡,波托菲诺天鹅堡,南山-华侨城-香山中街2号,4室2厅2卫,200.77㎡,东南,高层(共20层),2004年建造
红山必看好房，天哪 这个价格已经震撼到整个深圳,520万,39574元/㎡,龙光玖钻,龙华-民治-中梅路,4室2厅2卫,131.4㎡,南北,低层(共46层),2020年建造
二九九急售，带大露台三房，一手老业主无心打理,328万,28886元/㎡,吉星花园,布吉-布吉关-深惠路30-40号,3室2厅1卫,113.55㎡,南北,中层(共7层),1995年建造
罗湖银湖半山 品质小区 精致三房 业主急卖南向看山景带车位,228万,32572元/㎡,银湖半山,罗湖-红岗花园-金湖路6-33号,3室2厅1卫,70㎡,东南,中层(共28层),2012年建造
梧桐畔山 南北通透 精装四房二卫 看花园景 满五年免个税,790万,50083元/㎡,万科东方尊峪,罗湖-莲塘-罗沙路2018号,4室2厅2卫,157.74㎡,南北,低层(共24层),2008年建造
深超总旁，中信红树湾精装三房超高使用率，厅出阳台南向，,1750万,114875元/㎡,中信红树湾(北区),南山-华侨城-白石二道8号,3室2厅2卫,152.34㎡,南,高层(共29层),2008年建造
评估价79折，底价有惊喜，东方玫瑰花园，车位充足，金融街旁,1199万,76186元/㎡,东方玫瑰花园,"福田-景田南-景田南七街,近香梅路",4室2厅3卫,157.38㎡,东南,低层(共19层),1999年建造
熙璟城5房，满五  ，急售！！,535万,37153元/㎡,熙璟城,龙岗-平湖-富安大道,5室2厅2卫,144㎡,南,低层(共29层),2015年建造
莲花山庄，独栋大别墅，上下四层，带院子带露台，划算,1380万,66991元/㎡,莲花山庄别墅,布吉-布吉街-莲花路130号,7室2厅5卫,206㎡,南北,共4层,1994年建造
真实在卖 总价185万买精装三房看房方便 周边配套设施齐全,185万,23831元/㎡,水岸新都(五期),"龙岗-龙岗中心城-丰都一路,近坪西路",3室2厅1卫,77.63㎡,东南,高层(共28层),2012年建造
13年次新小区，楼下地铁商业，低指导价91W，业主诚心出,425万,42796元/㎡,佳兆业新都汇,布吉-木棉湾-龙岗大道1号,3室2厅2卫,99.31㎡,西北,中层(共41层),2013年建造
南海玫瑰花园二期的顶楼复式带露台，全海景，没有豪宅税,2500万,199554元/㎡,南海玫瑰花园(二期),南山-蛇口-望海路61号,4室3厅3卫,125.28㎡,南北,高层(共18层),2005年建造
深外护航！东海大花园新上！业主急出，随时看房！,1800万,137405元/㎡,东海花园(二期),福田-香蜜湖-香林路22号,3室2厅2卫,131㎡,南北,中层(共17层),2000年建造
坪山中心区 双地铁 实验 东郡精装3房 满五 价可谈,228万,32553元/㎡,万科金域东郡,坪山-坪山-行政二路6号,3室2厅1卫,70.04㎡,东南,低层(共33层),2010年建造
"喜欢简单,不会凌乱喜欢低调,不会张扬,水榭花都诚意出售",7500万,255755元/㎡,水榭花都,福田-香蜜湖-红荔西路8004号,5室2厅3卫,293.25㎡,东南,高层(共25层),2005年建造
新上百仕达豪宅 大平层天花板，抵门槛入手 一手业主移民换房,1060万,60631元/㎡,百仕达花园(一期),罗湖-水库-太宁路28号,4室2厅2卫,174.83㎡,南北,低层(共10层),2002年建造
翡翠阳光南北通透大四房，毛坯急售！,398万,33167元/㎡,汇威翡翠阳光,宝安-松岗-松白路,4室2厅2卫,120㎡,南北,中层(共38层),2020年建造
必看好房！！超大落地窗 采光视野超好 万达CBD旁 外国语,63万,11455元/㎡,远恒佳教师公寓,光明-光明-兴发路28号,3室2厅1卫,55㎡,南,中层(共16层),2012年建造
我不是在向您卖房！我是在用心为您挑选一个满意的家！,653万,51024元/㎡,博林君瑞,"宝安-沙井-中心路,近上星南路",4室2厅2卫,127.98㎡,南北,低层(共34层),2017年建造
十五峯安静3房，大阳台，看山景观,1280万,87672元/㎡,十五峯花园,南山-桃源村-龙珠五路,3室2厅2卫,146㎡,东北,中层(共11层),2012年建造
新价格诚意卖，室内面积340平，正规7房户型，纯水岸九期,4300万,147246元/㎡,波托菲诺纯水岸(九期),南山-华侨城-香山中街,7室2厅5卫,292.03㎡,南北,低层(共27层),2011年建造
    省重点，精装刚需上车  ，业主降价出售！,290万,41957元/㎡,风尚时代小区,宝安-新安-建安一路514号,2室2厅1卫,69.12㎡,南北,高层(共7层),2009年建造
华富村首排看公园120平9.8.0万出售，业主诚心卖南北通透,980万,81667元/㎡,华富村,福田-华强北-华富路,4室2厅2卫,120㎡,南北,中层(共38层),2023年建造
价好谈！深圳北站双地铁家门口！精装4房 位置安静  税少,620万,57408元/㎡,万福花园,龙华-金地梅陇镇-布龙路,4室2厅2卫,108㎡,南北,低层(共32层),2021年建造
一(5)零万急售！南方证券大厦 拎包入住 近地铁 国贸商圈,203万,30758元/㎡,南方证券大厦,罗湖-人民南-建设路2016号,2室2厅1卫,66㎡,南北,低层(共28层),2000年建造
公园大地 近医院 装修好 商品房 近地铁 满五  ,850万,70057元/㎡,公园大地,龙岗-龙岗中心城-龙翔大道6063号,4室2厅2卫,121.33㎡,南北,中层(共11层),2008年建造
红本70年产权 带车位（一口价150w）月供2800微聊可看,173万,28459元/㎡,金汐府,龙岗-龙岗中心城-同富路51号,3室2厅1卫,60.79㎡,南北,高层(共30层),2016年建造
业主急售 合正方州 全新精装南北通 四房两卫 看房方便价可谈,432万,37566元/㎡,合正方州,龙岗-龙岗中心城-吉祥南路,4室2厅2卫,115㎡,南北,低层(共47层),2020年建造
卓弘大平层 业主急卖 降价  赠送 得房率有140%,500万,38611元/㎡,卓弘高尔夫雅苑,龙岗-宝龙-黄宝路66号,4室2厅2卫,129.5㎡,南,中层(共30层),2005年建造
前海自贸区，高层南北通山海景观大四房，视野采光好诚心卖。,1248万,84847元/㎡,依云伴山,南山-前海-港城路,4室2厅2卫,147.09㎡,南北,高层(共32层),2010年建造
光明豪宅传麒山大平层，从未入住，环境好，居住舒适诚心出售,800万,58322元/㎡,深房传麒山,光明-光明-二十七号路,4室2厅2卫,137.17㎡,南北,中层(共14层),2015年建造
金茂礼都新出豪装单间，租金高，拎包入住，看房方便,443.3万,125200元/㎡,金茂礼都,福田-华强北-兰天路,1室0厅1卫,35.41㎡,北,高层(共32层),2004年建造
万科红   满五   送大平台 诚意急出,695万,55137元/㎡,万科红(二期),"布吉-百鸽笼-京南路,近布吉锦龙路",4室2厅2卫,126.05㎡,南北,低层(共31层),2012年建造
您的满意，我的追求！碧桂园翡翠山给力房源,60.9万,7714元/㎡,碧桂园翡翠山,深圳周边-惠州-大亚湾大道232号,3室2厅2卫,78.95㎡,南北,中层(共26层),2020年建造
南向大四房！！安静采光好，满五仅契税，看花园景观好,425万,38144元/㎡,徽王府,龙岗-龙岗中心城-龙平西路159号,4室2厅2卫,111.42㎡,南北,中层(共18层),2009年建造
香山美墅四期果岭|高楼层客厅东南向|豪华装修,2190万,131960元/㎡,香山美墅,南山-华侨城-沙河东路376号,3室2厅2卫,165.96㎡,东南,高层(共47层),2018年建造
新上欧式精装好房，居家舒适，价格实惠,1050万,73944元/㎡,益田花园画意居,福田-益田村-福强路,4室2厅2卫,142㎡,南北,低层(共25层),2001年建造
中海西岸华府(北区) 临地铁 商业配套成熟 交通便捷 带电梯,296万,38071元/㎡,中海西岸华府(北区),宝安-松岗-朗碧路3号,2室2厅1卫,77.75㎡,南,高层(共17层),2007年建造
双地铁口，68平的精装三房，看花园居家安静。性价比超高,215万,32090元/㎡,中兆花园,布吉-丹竹头-龙岗大道(布吉段)2582号,3室2厅1卫,67㎡,南北,中层(共8层),2000年建造
洋房带大花园 满五年 10号线旁精装大四房管理好购物方便,788万,64548元/㎡,万科四季花城(北区),龙岗-坂田-五和南路102-2号,4室2厅2卫,122.08㎡,南北,低层(共6层),2001年建造
抄底  必看！红山地铁口大三房！,279万,38918元/㎡,龙光玖钻,龙华-民治-中梅路,3室1厅2卫,71.69㎡,南北,高层(共38层),2017年建造
地铁直达 区政府旁 刚需上车两房 急售 价格可谈,185万,29643元/㎡,东方明珠城,龙岗-龙岗中心城-龙河路19号,2室2厅1卫,62.41㎡,南北,低层(共25层),2014年建造
龙威花园一期108平大三房朝南的售320万，拎包入住,320万,29439元/㎡,龙威花园,布吉-布吉关-京南路26号,3室2厅2卫,108.7㎡,南,低层(共8层),2000年建造
近清林   龙城中学 公园 地铁 天健花园大3房 方正实用,300万,28847元/㎡,天健花园(龙岗),龙岗-龙城国际-建设路21号,3室2厅1卫,104㎡,北,高层(共7层),1999年建造
平安里总价2开头的三房，产权是红本在手，价格可以刀,278万,35284元/㎡,喜福汇,龙岗-龙岗中心城-和谐路139号,3室2厅1卫,78.79㎡,南,高层(共18层),2011年建造
雅芳专人对接业主，诚心出售，看房提前预约,1700万,125000元/㎡,万科城市花园,福田-景田北-香梅路2038号,4室2厅3卫,136㎡,东南,中层(共8层),1997年建造
桑达大厦小面积总价低，百花实验，70年一类积分,370万,111851元/㎡,桑达大厦,福田-华强北-华发北路,1室0厅1卫,33.08㎡,北,中层(共27层),1991年建造
华侨城香山美墅新出合院丨全新毛坯，业主诚意出售！,18000万,481284元/㎡,香山美墅(别墅),南山-华侨城-香山西街,4室3厅5卫,374㎡,南北,共2层,2015年建造
新房超值豪宅   户型 业主诚售，新政省税5万！,240万,35388元/㎡,汇邦名都花园(三期),宝安-石岩-德政路,2室1厅1卫,67.82㎡,南,中层(共36层),2021年建造
坂田第五园八期 叠院精装修 景色好位置安静有钥匙 换房急售,990万,70649元/㎡,第五园八期,龙岗-坂田-雅园路9号,5室2厅3卫,140.13㎡,南北,共4层,2010年建造
包税！业主急卖，恒大成精装四房，坪山围地铁站500米随时看,290万,27369元/㎡,恒大成(二期),坪山-坪山-松坪路,4室2厅2卫,105.96㎡,南,低层(共42层),2020年建造
东方明珠城 刚需小三居 满五   近医院 近地铁 出行方便,288万,26610元/㎡,东方明珠城,龙岗-龙岗中心城-龙河路19号,3室2厅1卫,108.23㎡,南北,中层(共32层),2007年建造
红五一，税费低一字头入住福田，业主急售，出价就谈,243万,60179元/㎡,彩天名苑,福田-岗厦-彩田南路3016号,1室0厅1卫,40.38㎡,西,高层(共32层),2001年建造
